Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa06469	zinc ion binding
Mcavernosa17947	zinc ion binding
Mcavernosa12028	Responsible for the deiodination of T4 (3,5,3',5'- tetraiodothyronine)
Mcavernosa00806	TBC protein
Mcavernosa20634	organic anion transmembrane transporter activity
Mcavernosa12774	serine-pyruvate transaminase activity
Mcavernosa28781	innate vocalization behavior
Mcavernosa21648	P-loop containing dynein motor region D4
Mcavernosa34841	-
Mcavernosa30249	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa20870	-
Mcavernosa04133	negative regulation of hematopoietic stem cell differentiation
Mcavernosa29791	protein disulfide isomerase activity
Mcavernosa10311	Activin A receptor type
Mcavernosa23359	synaptic vesicle uncoating
Mcavernosa26652	Mib_herc2
Mcavernosa30613	Sorting nexin 25
Mcavernosa05889	nuclear inner membrane organization
Mcavernosa30787	Belongs to the OSBP family
Mcavernosa11274	dGTPase activity
Mcavernosa14641	replication fork processing
Mcavernosa00790	A disintegrin and metalloproteinase with thrombospondin motifs
Mcavernosa10735	intra-Golgi vesicle-mediated transport
Mcavernosa15597	Nuclear pore complex protein
Mcavernosa11488	minichromosome maintenance
Mcavernosa26201	Survival motor neuron (SMN) interacting protein 1 (SIP1)
Mcavernosa05583	Belongs to the complex I LYR family
Mcavernosa22533	2 iron, 2 sulfur cluster binding
Mcavernosa18441	transmembrane receptor protein tyrosine kinase activity
Mcavernosa24790	forked DNA-dependent helicase activity
Mcavernosa08561	SH3-binding, glutamic acid-rich protein
Mcavernosa28779	sequence-specific DNA binding
Mcavernosa33653	gamma-aminobutyric acid:sodium symporter activity
Mcavernosa03414	mitotic cell cycle checkpoint
Mcavernosa03497	Carboxypeptidase
Mcavernosa27270	alkaline phosphatase activity
Mcavernosa13127	ankyrin repeats
Mcavernosa06651	Protein kinase C and casein kinase substrate in neurons
Mcavernosa29958	alpha/beta hydrolase fold
Mcavernosa07051	serine racemase
Mcavernosa31719	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
Mcavernosa20554	determination of digestive tract left/right asymmetry
Mcavernosa10543	sodium-coupled neutral amino acid transporter
Mcavernosa29986	Angel homolog
Mcavernosa23272	regulation of nucleic acid-templated transcription
Mcavernosa18083	NFX1-type zinc finger-containing protein
Mcavernosa30194	anterograde synaptic vesicle transport
Mcavernosa22557	Methyltransferase-like protein 12
Mcavernosa13449	ATPase activity
Mcavernosa14355	scavenger receptor activity
Mcavernosa16410	DNA binding
Mcavernosa28254	dynamin family protein polymerization involved in mitochondrial fission
Mcavernosa27917	positive regulation of protein glycosylation in Golgi
Mcavernosa07807	polycomb
Mcavernosa04987	-
Mcavernosa14672	positive regulation of protein exit from endoplasmic reticulum
Mcavernosa13596	serine protease
Mcavernosa28545	polycystic kidney disease protein 1-like
Mcavernosa00959	carbohydrate binding
Mcavernosa17067	cytochrome-b5 reductase activity, acting on NAD(P)H
Mcavernosa12007	DNA replication, removal of RNA primer
Mcavernosa33809	Belongs to the glycosyl hydrolase 47 family
Mcavernosa04883	Pygopus homolog
Mcavernosa19826	regulation of nucleic acid-templated transcription
Mcavernosa09324	regulation of ligase activity
Mcavernosa17683	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
Mcavernosa21652	protein serine/threonine kinase activity
Mcavernosa14854	adenylate cyclase-activating dopamine receptor signaling pathway
Mcavernosa28583	Belongs to the class-I aminoacyl-tRNA synthetase family
Mcavernosa34299	Belongs to the protein kinase superfamily. Tyr protein kinase family
Mcavernosa03925	Myosin regulatory light
Mcavernosa28352	sulfuric ester hydrolase activity
Mcavernosa14652	ubiquitin conjugating enzyme binding
Mcavernosa15355	peptidyl-lysine acetyltransferase activity
Mcavernosa16777	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Mcavernosa14376	glossopharyngeal nerve morphogenesis
Mcavernosa12806	glucose-1,6-bisphosphate synthase activity
Mcavernosa03241	GTPase activator activity
Mcavernosa33680	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Mcavernosa03776	serine threonine-protein kinase
Mcavernosa13574	DiGeorge syndrome critical region gene 14
Mcavernosa12687	host cell factor
Mcavernosa10387	sucrose alpha-glucosidase activity
Mcavernosa25003	xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions
Mcavernosa10332	acetyl-CoA carboxylase
Mcavernosa25170	leucine rich repeat containing 6
Mcavernosa21218	Tumor necrosis factor, alpha-induced protein 3
Mcavernosa15973	phosphatidylinositol transporter activity
Mcavernosa14694	diacylglycerol kinase activity
Mcavernosa19688	tetratricopeptide repeat
Mcavernosa26460	leukotriene-B(4) omega-hydroxylase 1-like
Mcavernosa21562	smoothened signaling pathway
Mcavernosa28159	chromatin remodeling
Mcavernosa20105	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Mcavernosa01368	Acyl-CoA dehydrogenase, C-terminal domain
Mcavernosa32288	peptidase M20
Mcavernosa12589	smooth muscle cell proliferation
Mcavernosa26876	transmembrane transport
Mcavernosa32938	peroxidase activity
Mcavernosa13683	positive regulation of constitutive secretory pathway
Mcavernosa04315	GTPase activator activity
Mcavernosa00906	hydrolase activity
Mcavernosa08743	chaperone cofactor-dependent protein refolding
Mcavernosa14026	cellular calcium ion homeostasis
Mcavernosa22814	Cupin-like domain
Mcavernosa21034	Thrombospondin type 1 repeats
Mcavernosa19351	leucine-rich repeat and IQ domain-containing protein 3
Mcavernosa32992	Phosphoenolpyruvate phosphomutase
Mcavernosa25655	NACHT and WD repeat
Mcavernosa07873	Cupin superfamily protein
Mcavernosa32030	positive regulation of transcription from RNA polymerase II promoter in response to calcium ion
Mcavernosa27940	Domain of unknown function (DUF814)
Mcavernosa26873	RNA binding motif protein
Mcavernosa08429	Leucine-rich repeats, outliers
Mcavernosa03213	protein linear deubiquitination
Mcavernosa13578	Wax ester synthase-like Acyl-CoA acyltransferase domain
Mcavernosa09530	polycystic kidney disease protein 1-like
Mcavernosa32313	serotonin receptor activity
Mcavernosa23245	extracellular ligand-gated ion channel activity
Mcavernosa07369	L-ascorbic acid binding
Mcavernosa28255	transcription by RNA polymerase I
Mcavernosa07266	positive regulation of non-canonical Wnt signaling pathway via JNK cascade
Mcavernosa14821	plasma membrane repair
Mcavernosa08702	G-protein coupled receptor signaling pathway
Mcavernosa06536	extracellular ligand-gated ion channel activity
Mcavernosa07253	guanylate cyclase activity
Mcavernosa09235	positive regulation of interleukin-4-mediated signaling pathway
Mcavernosa19620	transcription elongation from RNA polymerase II promoter
Mcavernosa00814	negative regulation of Ras protein signal transduction
Mcavernosa12847	MafB19-like deaminase
Mcavernosa16128	Ankyrin repeat
Mcavernosa19132	Domain of unknown function (DUF4540)
Mcavernosa14027	Forkhead box
Mcavernosa03746	Exosome complex component
Mcavernosa00666	thioesterase binding
Mcavernosa24650	polycystic kidney disease protein 1-like
Mcavernosa20557	calmodulin binding
Mcavernosa11467	CUB and zona pellucida-like domain-containing protein
Mcavernosa08588	protein-containing complex scaffold activity
Mcavernosa20598	arachidonic acid secretion
Mcavernosa17073	transmembrane transport
Mcavernosa18537	Uridine-cytidine kinase 2
Mcavernosa09163	-
Mcavernosa30033	Deafness, autosomal recessive
Mcavernosa20993	translocon-associated protein
Mcavernosa08231	Polycomb group ring finger
Mcavernosa07005	Interferon-inducible GTPase (IIGP)
Mcavernosa24083	RNA splicing
Mcavernosa11805	TNF receptor-associated factor
Mcavernosa14920	Microsomal glutathione S-transferase
Mcavernosa10444	EF hand
Mcavernosa18045	xylulokinase activity
Mcavernosa20727	glucose:sodium symporter activity
Mcavernosa03557	heat shock protein 90kDa beta (Grp94), member 1
Mcavernosa04160	dodecenoyl-CoA delta-isomerase activity
Mcavernosa14086	Glutamine phosphoribosylpyrophosphate amidotransferase
Mcavernosa17626	Protein rolling stone-like
Mcavernosa02969	heat shock
Mcavernosa33115	phospholipase
Mcavernosa16895	adiponectin receptor
Mcavernosa02713	positive regulation of acetylcholine metabolic process
Mcavernosa11878	Alpha-kinase family
Mcavernosa12516	GMC oxidoreductase
Mcavernosa08641	polypeptide N-acetylgalactosaminyltransferase
Mcavernosa06975	RNA splicing
Mcavernosa06632	establishment or maintenance of actin cytoskeleton polarity
Mcavernosa31572	post-translational protein acetylation
Mcavernosa02672	rRNA methylation
Mcavernosa19875	7 transmembrane receptor (rhodopsin family)
Mcavernosa04118	7 transmembrane receptor (rhodopsin family)
Mcavernosa31774	apoptotic process
Mcavernosa25852	NFX1-type zinc finger-containing protein
Mcavernosa01056	protein serine/threonine phosphatase activity
Mcavernosa20538	peptidyl-arginine hydroxylation
Mcavernosa10794	glyoxalase bleomycin resistance protein dioxygenase
Mcavernosa06803	Testis expressed 9
Mcavernosa09027	metalloaminopeptidase activity
Mcavernosa27870	-
Mcavernosa12948	mitochondrial fusion
Mcavernosa15542	Zinc-binding domain
Mcavernosa32063	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa17374	ribosomal protein import into nucleus
Mcavernosa27744	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa15692	Reverse transcriptase (RNA-dependent DNA polymerase)
Mcavernosa08160	positive regulation of B cell differentiation
Mcavernosa17305	myosin light chain kinase activity
Mcavernosa11214	Putative Interleukin 2 receptor, gamma chain
Mcavernosa26037	G-protein coupled GABA receptor activity
Mcavernosa10808	negative regulation of fibroblast apoptotic process
Mcavernosa32773	transmembrane protein 222
Mcavernosa21676	B-cell translocation gene 1
Mcavernosa31135	N-terminal peptidyl-methionine acetylation
Mcavernosa33029	Dynein heavy chain 14
Mcavernosa09222	Poly ADP-ribose polymerase 12-like
Mcavernosa15144	Limb and CNS expressed 1
Mcavernosa32932	heparan sulfate proteoglycan
Mcavernosa27816	helix loop helix domain
Mcavernosa23418	protein serine/threonine kinase activity
Mcavernosa04018	frizzled binding
Mcavernosa04557	nuclear-transcribed mRNA catabolic process
Mcavernosa28539	Cornichon family AMPA receptor auxiliary protein 1
Mcavernosa25402	organic anion transmembrane transporter activity
Mcavernosa09727	ceramide glucosyltransferase activity
Mcavernosa13710	helicase activity
Mcavernosa32931	TRAF-type zinc finger
Mcavernosa18764	Belongs to the heat shock protein 70 family
Mcavernosa10457	Histone-lysine N-methyltransferase
Mcavernosa19636	cytoplasmic mRNA processing body assembly
Mcavernosa05782	adenyl-nucleotide exchange factor activity
Mcavernosa29901	ATP-binding cassette, sub-family F
Mcavernosa00364	Peptidase family C54
Mcavernosa23499	elongation of very long chain fatty acids protein
Mcavernosa31377	-
Mcavernosa07273	Zinc finger CCCH domain-containing protein 18
Mcavernosa12741	glutathione S-transferase
Mcavernosa17376	Transportin 1
Mcavernosa18563	organic anion transmembrane transporter activity
Mcavernosa08844	Universal stress protein family
Mcavernosa30727	ubiquitin-like protein ligase activity
Mcavernosa05528	carbohydrate binding
Mcavernosa04750	DNA-dependent protein kinase activity
Mcavernosa03262	GABA-A receptor activity
Mcavernosa01321	RNA-directed 5'-3' RNA polymerase activity
Mcavernosa18213	ribokinase activity
Mcavernosa25732	contactin-associated protein-like
Mcavernosa11511	CUB and sushi domain-containing protein
Mcavernosa31610	EGF-like module-containing mucin-like hormone receptor-like
Mcavernosa20133	Diacylglycerol kinase
Mcavernosa20154	ATP-citrate synthase is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA in many tissues
Mcavernosa05890	3 iron, 4 sulfur cluster binding
Mcavernosa32940	negative regulation of platelet-derived growth factor receptor-alpha signaling pathway
Mcavernosa21863	Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate
Mcavernosa05080	Kelch-like protein 18
Mcavernosa28569	Ependymin-like
Mcavernosa08648	polypeptide N-acetylgalactosaminyltransferase
Mcavernosa30208	dolichol biosynthetic process
Mcavernosa32897	Exosome complex component
Mcavernosa21519	GDP-fucose import into Golgi lumen
Mcavernosa18009	structural constituent of ribosome
Mcavernosa31345	positive regulation of timing of anagen
Mcavernosa10562	histone H2A acetylation
Mcavernosa10610	CUB and zona pellucida-like domain-containing protein
Mcavernosa07558	Er lumen protein retaining receptor
Mcavernosa32918	Solute carrier family 33 (acetyl-CoA transporter), member 1
Mcavernosa22347	peroxidase activity
Mcavernosa08582	Myotubularin related protein 14
Mcavernosa13182	Solute carrier family 35
Mcavernosa04499	frizzled binding
Mcavernosa25593	intracellular chloride channel activity
Mcavernosa22185	amine oxidase
Mcavernosa04631	oxidoreductase activity
Mcavernosa28657	RAB10, member RAS oncogene family
Mcavernosa08672	O-acetyl-ADP-ribose deacetylase
Mcavernosa15089	G-protein coupled receptor activity
Mcavernosa17448	Neural precursor cell expressed, developmentally down-regulated
Mcavernosa14551	protein K33-linked ubiquitination
Mcavernosa25959	Assists the folding of proteins upon ATP hydrolysis
Mcavernosa07805	polycomb
Mcavernosa14441	FKBP-type peptidyl-prolyl cis-trans isomerase
Mcavernosa00086	negative regulation of inclusion body assembly
Mcavernosa19051	protein polyubiquitination
Mcavernosa31228	mitochondrial translation
Mcavernosa19438	FG-GAP repeat
Mcavernosa27195	receptor-associated protein-like 2
Mcavernosa30152	extracellularly ATP-gated cation channel activity
Mcavernosa24657	Cupin superfamily protein
Mcavernosa00732	Mediator complex subunit MED14
Mcavernosa31027	positive regulation of transcription initiation from RNA polymerase II promoter
Mcavernosa23924	Belongs to the peptidase C14A family
Mcavernosa28658	Phosphopantothenoylcysteine decarboxylase
Mcavernosa09397	acidic dipeptidase
Mcavernosa11448	negative regulation of transcription, DNA-templated
Mcavernosa04343	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa27887	It is involved in the biological process described with protein phosphorylation
Mcavernosa13589	SAGA-associated factor 29 homolog
Mcavernosa22222	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa08923	translation elongation factor activity
Mcavernosa27034	gamma-butyrobetaine dioxygenase activity
Mcavernosa12191	Ribosomal protein L20
Mcavernosa29054	BPG-independent PGAM N-terminus (iPGM_N)
Mcavernosa26832	Tetraspanin family
Mcavernosa02321	3',5'-cyclic-GMP phosphodiesterase activity
Mcavernosa31927	ATP-dependent RNA helicase DDX54
Mcavernosa17558	magnesium ion transmembrane transporter activity
Mcavernosa00606	3-hydroxyisobutyryl-CoA hydrolase activity
Mcavernosa31020	radial pattern formation
Mcavernosa13103	lipid catabolic process
Mcavernosa16831	dynein heavy chain binding
Mcavernosa22544	hydrolase
Mcavernosa30888	zinc ion binding
Mcavernosa31762	Src homology 3 domains
Mcavernosa13602	Collagen and calcium binding EGF domains 1
Mcavernosa32422	fumarylacetoacetase activity
Mcavernosa21389	Putative DNA-binding domain
Mcavernosa18584	histone demethylase activity (H3-monomethyl-K4 specific)
Mcavernosa29113	zinc ion binding
Mcavernosa00582	regulation of translation
Mcavernosa07692	Galactose-3-O-sulfotransferase
Mcavernosa14528	polysaccharide biosynthesis domain containing 1
Mcavernosa07289	Meprin A
Mcavernosa35206	calcium ion binding
Mcavernosa30784	Belongs to the DNase I family
Mcavernosa25017	Rho guanyl-nucleotide exchange factor activity
Mcavernosa04687	supervillin
Mcavernosa28979	Importin 4
Mcavernosa32588	tRNA wobble uridine modification
Mcavernosa08153	glycogen (starch) synthase activity
Mcavernosa16954	phosphatidylinositol 3-kinase regulatory subunit binding
Mcavernosa21932	serine-type carboxypeptidase activity
Mcavernosa08355	zinc ion binding
Mcavernosa06251	Putative death-receptor fusion protein (DUF2428)
Mcavernosa18848	NFX1-type zinc finger-containing protein
Mcavernosa15889	phosphatidylinositol biosynthetic process
Mcavernosa00115	ion channel binding
Mcavernosa04095	Histidine phosphatase superfamily (branch 2)
Mcavernosa22900	positive regulation of cholangiocyte proliferation
Mcavernosa13257	sulfuric ester hydrolase activity
Mcavernosa14458	family member
Mcavernosa04542	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa02696	poly(ADP-ribose) glycohydrolase activity
Mcavernosa11264	Golgi to plasma membrane protein transport
Mcavernosa22904	Belongs to the FPP GGPP synthase family
Mcavernosa06762	biological adhesion
Mcavernosa28365	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
Mcavernosa33916	Polyamine oxidase
Mcavernosa27615	negative regulation of ERK5 cascade
Mcavernosa10811	nucleic acid-templated transcription
Mcavernosa14593	Protein farnesyltransferase subunit
Mcavernosa06250	E3 ubiquitin-protein ligase
Mcavernosa03108	zinc ion binding
Mcavernosa15526	ATP-dependent RNA helicase
Mcavernosa32890	Armadillo repeat-containing protein
Mcavernosa01831	Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
Mcavernosa08349	mRNA export
Mcavernosa26430	GTPase activator activity
Mcavernosa31040	RNA lariat debranching enzyme activity
Mcavernosa14768	glucan metabolic process
Mcavernosa18356	vesicle targeting, trans-Golgi to periciliary membrane compartment
Mcavernosa34484	Uncharacterized conserved protein (DUF2181)
Mcavernosa24701	P-loop containing dynein motor region D3
Mcavernosa12703	Ankyrin repeat
Mcavernosa15534	spectrin binding
Mcavernosa27983	L-glutamate import across plasma membrane
Mcavernosa05630	Component of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends. Also a component of RNase MRP
Mcavernosa27606	coiled-coil domain containing 57
Mcavernosa09181	occurring C-terminal to leucine-rich repeats
Mcavernosa11158	zinc ion binding
Mcavernosa22342	regulation of MAPK export from nucleus
Mcavernosa03329	Belongs to the peptidase M10A family
Mcavernosa11816	GTPase activity
Mcavernosa32888	F5/8 type C domain
Mcavernosa26561	Ubiquitin-conjugating enzyme
Mcavernosa24544	Calcium- and
Mcavernosa28437	major facilitator superfamily
Mcavernosa21042	Brefeldin A-inhibited guanine nucleotide-exchange protein
Mcavernosa25448	eukaryotic translation initiation factor
Mcavernosa21335	Alanine aminotransferase
Mcavernosa20281	molybdopterin cofactor binding
Mcavernosa28744	Adenosylhomocysteinase activity. It is involved in the biological process described with one-carbon metabolic process
Mcavernosa21550	Multidrug resistance-associated protein 4-like
Mcavernosa16375	major facilitator superfamily
Mcavernosa24140	Pentraxin 4
Mcavernosa11434	G-protein coupled receptor activity
Mcavernosa04004	LicD family
Mcavernosa13252	acetylcholine-gated cation-selective channel activity
Mcavernosa02542	Histone acetyltransferase
Mcavernosa16923	Protein of unknown function (DUF3719)
Mcavernosa05421	neurotransmitter:sodium symporter activity
Mcavernosa30327	heme binding
Mcavernosa02210	oxidoreductase activity, oxidizing metal ions with flavin as acceptor
Mcavernosa02838	self proteolysis
Mcavernosa22683	histone-lysine N-methyltransferase PRDM6
Mcavernosa23173	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Mcavernosa12563	Activating transcription factor
Mcavernosa01200	Fibrillin 1
Mcavernosa04162	positive regulation of hematopoietic stem cell proliferation
Mcavernosa25429	Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process
Mcavernosa10291	calcium ion-regulated exocytosis of neurotransmitter
Mcavernosa34876	Bromodomain-containing protein 7
Mcavernosa21457	-
Mcavernosa09892	carbohydrate binding
Mcavernosa32295	peptidase M20
Mcavernosa01424	dolichyl-phosphate beta-glucosyltransferase activity
Mcavernosa16221	-
Mcavernosa30371	biotin-[acetyl-CoA-carboxylase] ligase activity
Mcavernosa01633	Cd27 binding protein (Siva)
Mcavernosa24920	Cap methyltransferase 1
Mcavernosa09546	-
Mcavernosa24563	Cathepsin propeptide inhibitor domain (I29)
Mcavernosa20655	catalase activity
Mcavernosa18895	Protein KRI1 homolog
Mcavernosa16569	calcium:proton antiporter activity
Mcavernosa24160	Mitochondrial import inner membrane translocase subunit
Mcavernosa31878	tRNA dihydrouridine synthase activity
Mcavernosa06989	aspartate oxidase activity
Mcavernosa25024	metalloendopeptidase activity
Mcavernosa17195	proteasome-mediated ubiquitin-dependent protein catabolic process
Mcavernosa25070	Hsp70 protein binding
Mcavernosa29950	sequence-specific DNA binding
Mcavernosa11833	Glycerophosphoryl diester phosphodiesterase family
Mcavernosa10028	Replication factor c
Mcavernosa32309	Leukocyte cell-derived
Mcavernosa16100	Uncharacterized ACR, YdiU/UPF0061 family
Mcavernosa29804	metalloendopeptidase activity
Mcavernosa24577	membrane protein proteolysis involved in retrograde protein transport, ER to cytosol
Mcavernosa18733	-
Mcavernosa14802	COMM domain
Mcavernosa30445	structural constituent of ribosome
Mcavernosa05307	RNA (guanine-N7)-methylation
Mcavernosa06800	GTP binding. It is involved in the biological process described with protein transport
Mcavernosa08025	actin binding
Mcavernosa14732	Tubulin folding cofactor D C terminal
Mcavernosa21302	hydrolase
Mcavernosa23656	podosome assembly
Mcavernosa20958	mRNA 3'-UTR binding
Mcavernosa05358	formate-tetrahydrofolate ligase activity
Mcavernosa23770	Achaete-scute family bHLH transcription factor 5
Mcavernosa32475	phosphatidylserine exposure on apoptotic cell surface
Mcavernosa16433	peptidyl-prolyl cis-trans isomerase activity
Mcavernosa13899	trafficking protein particle complex
Mcavernosa23056	Acid-sensing (proton-gated) ion channel family member
Mcavernosa01325	RNA dependent RNA polymerase
Mcavernosa18254	developmental process involved in reproduction
Mcavernosa31670	metal ion binding
Mcavernosa13801	sulfuric ester hydrolase activity
Mcavernosa30163	Peroxidasin homolog
Mcavernosa00684	Protein of unknown function (DUF1308)
Mcavernosa24636	Tubulin-tyrosine ligase family
Mcavernosa08140	ATP-binding cassette, subfamily B (MDR TAP), member
Mcavernosa17028	NADPH:quinone reductase activity
Mcavernosa27061	regulation of canonical Wnt signaling pathway involved in osteoblast differentiation
Mcavernosa35223	1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase
Mcavernosa04933	NmrA-like family
Mcavernosa32429	fibroblast growth factor receptor binding
Mcavernosa22028	peptidyl-dipeptidase activity
Mcavernosa01694	Domain present in PSD-95, Dlg, and ZO-1/2.
Mcavernosa28311	SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member
Mcavernosa29651	VANGL planar cell polarity protein
Mcavernosa11846	Myotubularin-like phosphatase domain
Mcavernosa01112	organic anion transmembrane transporter activity
Mcavernosa22607	ubiquitin-protein transferase activator activity
Mcavernosa18136	transferase activity
Mcavernosa19313	metal ion binding
Mcavernosa00261	SH3 domain-binding protein 5
Mcavernosa21098	RNA splicing
Mcavernosa05511	CUB and Sushi multiple domains 3
Mcavernosa30414	UPF0554 protein C2orf43 homolog
Mcavernosa02865	carbohydrate binding
Mcavernosa09976	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Mcavernosa07789	cell division
Mcavernosa07571	protein insertion into ER membrane
Mcavernosa02900	Chromosome 4 open reading frame 29
Mcavernosa21817	Smith-Magenis syndrome chromosome region, candidate
Mcavernosa04448	BLOC-2 complex binding
Mcavernosa23820	Neurotransmitter-gated ion-channel transmembrane region
Mcavernosa24708	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
Mcavernosa21474	ATPase activity, coupled to transmembrane movement of substances
Mcavernosa10968	Belongs to the BI1 family
Mcavernosa08308	plasma membrane repair
Mcavernosa31184	mesenchymal stem cell proliferation
Mcavernosa26205	carnitine O-palmitoyltransferase activity
Mcavernosa09632	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa07136	BTB POZ domain-containing protein KCTD6
Mcavernosa27082	protein serine/threonine kinase activity
Mcavernosa30991	zinc ion binding
Mcavernosa15450	Hydrolase activity, hydrolyzing O-glycosyl compounds. It is involved in the biological process described with carbohydrate metabolic process
Mcavernosa25441	ubiquitin-like protein ligase activity
Mcavernosa34582	Helicase conserved C-terminal domain
Mcavernosa28795	low-density lipoprotein particle receptor activity
Mcavernosa26309	inactivation of MAPKK activity
Mcavernosa17874	positive regulation of epithelial to mesenchymal transition
Mcavernosa26969	Rho guanyl-nucleotide exchange factor activity
Mcavernosa32616	hydroxymethylglutaryl-CoA lyase activity
Mcavernosa24656	polycystic kidney disease protein 1-like
Mcavernosa02758	metal ion binding
Mcavernosa34732	endoribonuclease activity, cleaving siRNA-paired mRNA
Mcavernosa01162	protein transport
Mcavernosa21318	translation initiation factor activity
Mcavernosa06971	mitotic cytokinesis
Mcavernosa01387	mitogen-activated protein kinase
Mcavernosa07679	tRNA threonylcarbamoyladenosine metabolic process
Mcavernosa24407	positive regulation of AMPA glutamate receptor clustering
Mcavernosa04771	Ribonuclease H protein
Mcavernosa10013	Multidrug resistance-associated protein 4-like
Mcavernosa01042	mRNA transport
Mcavernosa21713	galactitol metabolic process
Mcavernosa32591	RNA-directed 5'-3' RNA polymerase activity
Mcavernosa26528	glutathione hydrolase activity
Mcavernosa08401	nitric-oxide synthase activity
Mcavernosa31036	Transmembrane protein 35B
Mcavernosa06180	exonuclease activity
Mcavernosa10677	Flap endonuclease GEN homolog 1
Mcavernosa20760	GTPase activity
Mcavernosa18954	Methyltransferase domain
Mcavernosa27371	vascular endothelial growth factor receptor-2 signaling pathway
Mcavernosa14210	Cytochrome B561, N terminal
Mcavernosa12735	piggyBac transposable element-derived protein
Mcavernosa15706	Transport and Golgi organisation 2
Mcavernosa12393	Retinol binding protein receptor
Mcavernosa20364	carbohydrate phosphorylation
Mcavernosa30928	serine transport
Mcavernosa16893	N-acetylgalactosamine kinase activity
Mcavernosa34944	4-hydroxyphenylpyruvate dioxygenase activity
Mcavernosa09702	Tetraspanin family
Mcavernosa03964	lipid droplet organization
Mcavernosa25330	Ion transport protein
Mcavernosa00877	TNF(Tumour Necrosis Factor) family
Mcavernosa32087	Serine arginine-rich splicing factor
Mcavernosa02458	heme binding
Mcavernosa12587	SHC (Src homology 2 domain containing) transforming protein
Mcavernosa13165	WD domain, G-beta repeat
Mcavernosa24414	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit
Mcavernosa02384	Amiloride-sensitive sodium channel
Mcavernosa28086	Potassium channel subfamily K member
Mcavernosa33361	high voltage-gated calcium channel activity
Mcavernosa17386	-
Mcavernosa27668	protein KIAA0556 homolog
Mcavernosa21021	lipoprotein localization
Mcavernosa05698	protein glycosylation in Golgi
Mcavernosa32764	Chromosome 16 open reading frame 62
Mcavernosa23905	cation channel activity
Mcavernosa14401	aspartyl-tRNA aminoacylation
Mcavernosa09538	DNA methylation involved in gamete generation
Mcavernosa23558	Peptidase M16 inactive domain
Mcavernosa28855	Ras-related C3 botulinum toxin substrate
Mcavernosa21748	tachykinin receptor activity
Mcavernosa31937	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process
Mcavernosa18527	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Mcavernosa06933	LSM domain
Mcavernosa09054	Elongation of very long chain fatty acids protein
Mcavernosa08339	protein-hormone receptor activity
Mcavernosa03021	Golgi transport vesicle coating
Mcavernosa31219	positive regulation of DNA demethylation
Mcavernosa04375	calcium ion binding
Mcavernosa33328	1-alkylglycerophosphocholine O-acetyltransferase activity
Mcavernosa18371	alpha-(1->3)-fucosyltransferase activity
Mcavernosa03830	sperm capacitation
Mcavernosa19461	transposition, RNA-mediated
Mcavernosa11499	serine-type endopeptidase activity
